Filename,BACKGROUND,FEATHER,OUTWEAR,BEAK,HEADWEAR,EYES,EYEWEAR,RARITYSCORE,RANK
072,blue sky,green,medal,normal,none,black red,goggles,0.405625242622104,516
728,blue,pink,firefighter uniform,cigar,none,unibrow,glasses,0.405445566289389,517
046,thunder,black,construction vest,gold normal,none,eyebrow,glasses,0.40542774762165795,518
1739,blue,pink,none,big,bucket,black red,3d glasses,0.4052551479797801,519
1850,blue,black,witch robe,small,none,machine,3d glasses,0.4049454784112612,520
508,grey,fire red,none,moustache normal,lamp,normal,eye patch,0.40356198308405744,521
979,teal,black skull,none,silver,sombrero hat,normal,sunglasses smoll,0.40347311461898605,522
579,grey,yellow,none,normal,beanie,black red,green stylish glasses,0.40337745459278623,523
401,blue,blue,none,cigar,rubber duck,eyebrow,3d glasses,0.40305062841941747,524
426,thunder,grey,scarf,gold small,none,eyebrow,red stylish glasses,0.4029809383891513,525
1888,thunder,blue,scarf,small,none,black red,brown aviator,0.4028782063885409,526
267,rain,blue,clown outfit,small,none,pumped up,eye patch,0.4025313072995239,527
780,sun,brown,flower,moustache normal,none,eyebrow,green stylish glasses,0.40237437629074063,528
1123,thunder,green,witch robe,big,none,pumped up,sunglasses,0.40233180135362967,529
892,blue,pink,none,normal,pilot helmet,normal gold,pink stars glasses,0.40173192356816423,530
1964,doom gloom,purple,none,pipe,leprechaun's hat,normal,glasses,0.4013156389798598,531
1882,doom gloom,grey,detective suit,normal,none,pumped up,pink stars glasses,0.4001271493064907,532
2178,doom gloom,yellow,none,normal,cop hat,unibrow,red stylish glasses,0.3997680431363309,533
671,doom gloom,pink,bowtie,small,none,crying,green stylish glasses,0.3974879086775695,534
1575,rain,purple,none,pipe,pan,normal,glasses,0.39692838957944104,535
2069,teal,grey,purple jacket,small,none,heart,sunglasses,0.3964796335791671,536
1313,rainbow,yellow,monki suit,pipe,none,normal,red stylish glasses,0.395944660206208,537
1287,blue sky,black,bowtie,moustache small,none,eyebrow,3d glasses,0.3947171679311933,538
1975,rain,yellow,none,normal,plunger,unibrow,sunglasses,0.394449935113646,539
486,sun,green,gold necklace,gold normal,none,normal,glasses,0.3935724962484571,540
1862,grey,blue,green jacket,small,none,heart,sleep mask ,0.39243429238454597,541
1408,purple,green,leather jacket black,normal,none,cyclops,glasses,0.3922913158744526,542
110,thunder,boorb,none,big,cone,eyebrow,sunglasses smoll,0.3917520772733403,543
731,beach,brown,construction vest,pipe,none,normal,eye patch,0.3915207987861791,544
1473,rain,black,cross necklace,normal,none,pumped up,red stylish glasses,0.39132129899435697,545
2109,green chart,blue,clown outfit,cigar,none,normal,red stylish glasses,0.39002996602816087,546
2153,rainbow,blue,cross necklace,normal,none,unibrow,sunglasses smoll,0.3891690933180417,547
2033,diplo sky,green,baseball jersey,normal,none,unibrow,pink stars glasses,0.3890785328115385,548
1225,blue,blue,none,moustache small,headset pink,eyebrow,eye patch,0.3887921925610597,549
419,diplo sky,pink love,none,big,rubber duck,normal,pink stars glasses,0.3880427314666042,550
1657,grey,brown,sailor costume,big,none,normal gold,red stylish glasses,0.3875764874759702,551
1014,grey,brown,none,worm,pirate hat,eyebrow,eye patch,0.38748852386905175,552
867,purple,grey,none,moustache big,firefighter hat,eyebrow,brown aviator,0.3870264599327086,553
347,thunder,blue,flower,moustache big,none,eyebrow,sunglasses smoll,0.3867663691742839,554
571,blue,black,none,moustache small,cavalier hat ,eyebrow,glasses,0.3864183367128839,555
855,beach,blue,none,small,headset pink,eyebrow,sunglasses,0.38554597538666624,556
124,teal,boorb,medal,moustache small,none,eyebrow,glasses,0.38523464627780096,557
1650,green chart,black skull,none,big,pan,normal,green stylish glasses,0.38357205526680777,558
1535,red chart,brown,none,small,cop hat,eyebrow,goggles,0.38348451437402936,559
1062,purple,blue,none,pipe,watermelon,normal,brown aviator,0.3834554287868425,560
1872,grey,grey,medal,normal,none,heart,green stylish glasses,0.3826958357914313,561
301,teal,brown,none,moustache normal,cone,eyebrow,glasses,0.381849247995841,562
1061,graveyard,black,chef,moustache normal,none,normal,sunglasses,0.3818060623647949,563
574,grey,gold,purple jacket,moustache normal,none,normal,brown aviator,0.3816369799869396,564
1022,doom gloom,green,none,moustache normal,lamp,normal,goggles,0.38144809983356803,565
2120,rainbow,pink,none,big,straw hat,eyebrow,green stylish glasses,0.38072080013041404,566
2002,teal,yellow,none,silver,top hat,normal,brown aviator,0.3794174909276745,567
853,teal,purple,construction vest,small,none,unibrow,monocle,0.37852083317490387,568
180,teal,purple glitch,pocho,moustache big,none,normal,red stylish glasses,0.3770753150057021,569
1155,blue,pink,none,silver,chef hat,normal,eye patch,0.37683412160225904,570
572,purple,stone,none,small,pan,eyebrow,sunglasses,0.3767817126974093,571
1562,doom gloom,pink,pink dress,small,none,unibrow,red stylish glasses,0.37644303012007596,572
1301,blue,pink love,chef,normal,none,unibrow,pink stars glasses,0.3763618310704179,573
1184,red chart,yellow,sailor costume,moustache small,none,normal,red stylish glasses,0.3745156570570241,574
1646,rain,grey,scarf,moustache small,none,eyebrow,pink stars glasses,0.3739899368157663,575
128,thunder,green,flower,cigar,none,normal,sleep mask ,0.3725658366536819,576
1243,thunder,blue,witch robe,cigar,none,normal,goggles,0.37221787379784077,577
1120,teal,blue,medal,pipe,none,eyebrow,glasses,0.3694427898351592,578
1051,blue,pink love,scarf,pipe,none,normal,sleep mask ,0.3692744608349733,579
1011,doom gloom,pink,construction vest,silver,none,normal,glasses,0.36864000600630575,580
1220,blue,purple,none,moustache big,frogi,normal,pink stars glasses,0.36828568884966517,581
455,blue,purple,none,moustache big,lamp,normal,sunglasses smoll,0.36799839823678193,582
1640,blue,blue,none,moustache normal,top hat,normal,3d glasses,0.36749124041150294,583
1104,doom gloom,purple,none,big,rug!,eyebrow,sleep mask ,0.36730616446637143,584
1116,blue sky,grey,none,big,gm,normal,green stylish glasses,0.36628371019231626,585
2090,doom gloom,green,none,small,pan,eyebrow,3d glasses,0.36608315427300625,586
2133,space,green,none,small,rubber duck,normal,sunglasses,0.3654595012445715,587
699,grey,green,chef,worm,none,eyebrow,sunglasses,0.36529356794219686,588
722,green chart,pink,bowtie,moustache normal,none,normal,green stylish glasses,0.3652497832334881,589
1272,aries constellation,green,none,small,cone,normal,brown aviator,0.36514256840813836,590
1871,blue,green,astronaut,worm,none,eyebrow,sunglasses,0.3646522236167067,591
1583,green chart,purple,none,big,clown hat,normal,glasses,0.3638394674152842,592
1916,thunder,purple,bowtie,cigar,none,normal,sunglasses,0.36370825442236654,593
1806,purple,blue,pajamas blue holding pillow,small,none,unibrow,red stylish glasses,0.36340954954766397,594
1821,doom gloom,yellow,none,small,top hat,eyebrow,eye patch,0.36332984341606467,595
674,ninja,pink,none,big,tiara pink,normal,glasses,0.36311172014868603,596
1258,blue,brown,none,moustache small,cowboy hat,normal,sunglasses,0.3629574864060164,597
1987,rain,brown,sailor costume,normal,none,unibrow,eye patch,0.36276226947377704,598
457,red chart,brown,none,small,tiara pink,normal,sleep mask ,0.3622375148373259,599
1768,sun,yellow belly,none,pipe,none,black red,goggles,0.3621737710628935,600
2125,doom gloom,brown,none,big,lamp,eyebrow,sunglasses,0.36135639007657755,601
1137,red chart,pink love,none,moustache small,none,pumped up,eye patch,0.360677313060132,602
1174,purple,purple,cross necklace,big,none,unibrow,red stylish glasses,0.36039602882044214,603
518,graveyard,black,green jacket,small,none,eyebrow,red stylish glasses,0.3602583512320579,604
1697,rain,brown,none,small,poisoned apple,eyebrow,glasses,0.3597042604381295,605
2167,green chart,purple,none,gold small,none,pumped up,pink stars glasses,0.3596179372678447,606
247,doom gloom,grey,none,normal,rug!,eyebrow,goggles,0.3588510616106648,607
006,red chart,black skull,pocho,small,none,normal,sunglasses,0.3584602884002065,608
1432,aries constellation,black,none,moustache big,none,red laser gold,goggles,0.35845764308724065,609
1555,blue,brown,construction vest,moustache big,none,eyebrow,sunglasses,0.3584091779504949,610
434,thunder,blue,none,normal,firefighter hat,eyebrow,3d glasses,0.3584033676717487,611
1637,space,brown,cop uniform,big,none,eyebrow,red stylish glasses,0.3582025945894235,612
1957,purple,robot,none,small,apple,normal,red stylish glasses,0.3577624032500423,613
733,rain,purple,none,normal,pan,eyebrow,3d glasses,0.3573447853983404,614
1920,green chart,blue,witch robe,big,none,eyebrow,glasses,0.35712357530801864,615
1049,blue sky,purple,karate uniform,small,none,eyebrow,3d glasses,0.35649741187811607,616
1663,doom gloom,black,none,big,witch hat,normal,snorkeling,0.3561547771611503,617
2070,sun,yellow,witch robe,small,none,eyebrow,pink stars glasses,0.35453418535233244,618
353,ninja,blue,bowtie,big,none,eyebrow,glasses,0.3544547259831272,619
231,purple,grey,firefighter uniform,worm,none,eyebrow,pink stars glasses,0.35334847480606346,620
395,blue,yellow belly,pink dress,worm,none,normal,glasses,0.352671773888165,621
490,rain,grey,firefighter uniform,worm,none,normal,brown aviator,0.3526018119724245,622
2144,rainbow,green,pajamas blue holding pillow,big,none,eyebrow,sunglasses,0.3510264331963174,623
1273,grey,black,none,small,cowboy hat,eyebrow,pink stars glasses,0.35029428305013993,624
2126,grey,yellow belly,none,big,construction hat,normal,green stylish glasses,0.3502821715983723,625
1335,blue,gold,green jacket,small,none,eyebrow,sleep mask ,0.3498425581756778,626
1177,thunder,green,firefighter uniform,moustache small,none,normal,sleep mask ,0.3494679841732992,627
658,teal,brown,firefighter uniform,normal,none,unibrow,green stylish glasses,0.34943761426154724,628
365,blue,grey,karate uniform,normal,none,unibrow,eye patch,0.3494034915458847,629
398,pink sky,green,none,silver,none,black red,snorkeling,0.34939361323985474,630
1779,grey,pink,pink dress,cigar,none,normal,eye patch,0.34932356267199893,631
1181,diplo sky,green diplos,none,normal,none,diplos eyes,pink stars glasses,0.3484554270853849,632
1400,thunder,grey,none,big,chef hat,normal,red stylish glasses,0.34811411414286353,633
088,pink sky,green,none,normal,beanie,normal,pink stars glasses,0.34786263858966987,634
028,purple,black,none,small,lamp,eyebrow,eye patch,0.34758346308417776,635
638,doom gloom,black,none,small,clown hat,normal,sleep mask ,0.34742600007320834,636
1889,teal,yellow,none,big,sombrero hat,eyebrow,brown aviator,0.3472702133188246,637
209,grey,purple,gladiator armor,moustache big,none,normal,glasses,0.34663865497175994,638
1576,grey,green,chef,moustache big,none,normal,brown aviator,0.3457761940130459,639
1360,purple,brown,none,big,pajamas cap,eyebrow,green stylish glasses,0.34575314471952323,640
1097,rainbow,pink,none,pipe,none,crying,sunglasses,0.34543223052257455,641
1638,purple,yellow,none,small,apple,eyebrow,sunglasses,0.3441221393489157,642
1274,purple,black,none,gold small,none,rainbow laser,goggles,0.34396434822169,643
2105,doom gloom,brown,none,big,brain,normal,goggles,0.3423029311682901,644
1298,rainbow,yellow,monki suit,normal,none,normal,snorkeling,0.3402684809304434,645
1063,thunder,grey,leather jacket black,small,none,eyebrow,sleep mask ,0.339947155221388,646
113,beach,grey,none,moustache big,none,crying,3d glasses,0.33940584266829904,647
717,thunder,black,pajamas blue holding pillow,big,none,eyebrow,green stylish glasses,0.33784410839829276,648
875,doom gloom,grey,scarf,big,none,eyebrow,pink stars glasses,0.336599874579943,649
1025,thunder,pink love,pink dress,small,none,normal,sunglasses,0.33603181528984427,650
859,blue,grey,none,big,headband,normal,snorkeling,0.33535344252515203,651
736,ninja,purple,pocho,normal,none,normal,sleep mask ,0.33473065002624053,652
438,thunder,brown,clown outfit,small,none,eyebrow,sunglasses,0.33437277362535467,653
1223,grey,stone,pink dress,small,none,normal,green stylish glasses,0.3338379107751551,654
631,grey,yellow,none,small,firefighter hat,normal,brown aviator,0.33279763172691407,655
017,purple,grey,none,small,sunny side up,normal,green stylish glasses,0.33252646836834443,656
549,blue,pink,none,normal,bucket,eyebrow,glasses,0.332281565824148,657
1026,thunder,blue,scarf,normal,none,eyebrow,green stylish glasses,0.33125553319329765,658
1054,blue sky,grey ninja,ninja staff,gold small,crown king,red laser,none,0.33096142313576654,659
1419,graveyard,purple,baseball jersey,normal,none,normal,sunglasses,0.3309173636163104,660
2084,grey,stone,medal,big,none,normal,eye patch,0.3309079109453145,661
012,blue,yellow belly,none,pipe,none,pumped up,goggles,0.3306489159863438,662
986,grey,yellow,none,small,headlamp,normal,sleep mask ,0.3298743053270937,663
2017,green chart,green,witch robe,normal,none,normal,brown aviator,0.3297773368560136,664
661,rainbow,yellow,crewneck sweatshirt: pink,normal,none,normal,brown aviator,0.32971697676873335,665
1402,grey,pink,none,big,gm,normal,goggles,0.329661550506389,666
1763,grey,grey,none,big,bucket,normal,pink stars glasses,0.329472434168331,667
1234,green chart,pink,pajamas blue holding pillow,big,none,normal,sleep mask ,0.3290185715661937,668
1785,purple,brown,none,small,pan,normal,brown aviator,0.32873315451305857,669
1683,purple,yellow,none,small,headband,normal,red stylish glasses,0.32840031306497725,670
496,beach,grey ninja,duck floaty,gold small,third eye,red laser,none,0.3281132173821016,671
1238,grey,black,crewneck sweatshirt: pink,normal,none,eyebrow,snorkeling,0.3280803323459242,672
1571,green chart,black,white shirt,normal,none,normal,eye patch,0.3272344851523458,673
1541,blue,boorb,medal,small,none,normal,3d glasses,0.3267664246928453,674
1266,teal,pink,none,big,cone,normal,sunglasses smoll,0.3266332848946665,675
1277,grey,robot,scarf,normal,none,normal,sunglasses smoll,0.326401870326758,676
940,green chart,pink love,none,big,none,pumped up,snorkeling,0.3263981859152517,677
645,graveyard,blue ninja,gold necklace,gold small,third eye,wounded,none,0.32627192967038016,678
1618,aries constellation,bone,witch robe,none,poisoned apple,none,none,0.32591482148238193,679
1891,purple,brown,detective suit,small,none,eyebrow,eye patch,0.3254672044996673,680
844,blue,grey,duck floaty,big,none,eyebrow,brown aviator,0.3251208417370885,681
1144,grey,brown,none,normal,baseball cap,normal,green stylish glasses,0.3246533128290592,682
285,blue,black skull,none,moustache normal,none,heart,glasses,0.3243579246348164,683
1142,purple,fire red,tracksuit navy blue,normal,none,normal,red stylish glasses,0.32381871353827163,684
1681,graveyard,bone,purple jacket,none,pirate hat,none,none,0.32367402262789796,685
1161,rainbow,green,green jacket,normal,none,normal,pink stars glasses,0.32359114122030475,686
020,teal,black,none,normal,cowboy hat,normal,green stylish glasses,0.3233516092614204,687
040,beach,golden berbot,duck floaty,gold normal,rubber duck,red laser gold,none,0.3227897137629871,688
220,teal,purple,karate uniform,small,none,eyebrow,goggles,0.3227103116312048,689
1506,teal,robot,clown outfit,normal,none,normal,eye patch,0.3224784035352252,690
1776,teal,green,none,normal,apple,normal,3d glasses,0.32211753424609435,691
1986,thunder,yellow,none,moustache normal,none,heart,pink stars glasses,0.3205742938112768,692
648,blue,yellow,pajamas blue holding pillow,big,none,eyebrow,red stylish glasses,0.31973542963704643,693
1892,teal,pink,none,moustache small,none,cyclops,goggles,0.3194312802880879,694
1150,purple,brown,medal,small,none,eyebrow,red stylish glasses,0.31866851241218613,695
1190,grey,purple,sailor costume,normal,none,eyebrow,sunglasses smoll,0.31846320889706425,696
1629,purple,green,none,normal,straw hat,normal,glasses,0.3175757837067768,697
1418,blue,yellow,construction vest,normal,none,eyebrow,green stylish glasses,0.31635521198876587,698
051,blue sky,golden berbot,robe king,gold normal,crown king,normal gold,none,0.31606660702564804,699
085,grey,yellow belly,baseball jersey,normal,none,normal,green stylish glasses,0.3155006423383742,700
1334,green chart,yellow,none,moustache normal,none,unibrow,eye patch,0.3133280797756411,701
1805,thunder,blue,cross necklace,normal,none,normal,sunglasses smoll,0.3118972755537204,702
1670,doom gloom,blue,gold necklace,normal,none,normal,pink stars glasses,0.3112358519332708,703
1001,rainbow,yellow belly,leather jacket black,gold small,sunny side up,red laser,none,0.3103160143535633,704
963,blue,black,none,worm,none,normal gold,brown aviator,0.31009610523982023,705
112,teal,yellow,none,moustache normal,none,heart,brown aviator,0.3097493262375401,706
115,grey,black,pink dress,small,none,normal,brown aviator,0.30866274839951496,707
1569,blue,black,none,moustache big,none,heart,sleep mask ,0.30805687742580906,708
958,space,white ninja,ninja staff,moustache normal,brain,red laser,none,0.30760249046688476,709
1276,grey,grey,tracksuit navy blue,big,none,normal,brown aviator,0.30675913135866784,710
071,beach,fire blue,white shirt,gold normal,frogi,crying,none,0.30524137753822034,711
1827,teal,gold,none,big,none,crying,sunglasses smoll,0.3047733574473792,712
718,ninja,blue ninja,cross necklace,moustache normal,gladiator helmet,wounded,none,0.30446886887033386,713
1704,purple,green,pocho,small,none,normal,sleep mask ,0.30341276518566734,714
1784,blue,purple,tracksuit navy blue,normal,none,normal,snorkeling,0.3025514675909263,715
244,blue,pink,pajamas blue holding pillow,small,none,normal,brown aviator,0.3021219597631878,716
1005,grey,yellow,bowtie,small,none,normal,glasses,0.3009438019268946,717
1774,purple,green,cop uniform,big,none,normal,sunglasses,0.30091253783311167,718
1673,rain,brown,none,worm,none,unibrow,red stylish glasses,0.300600919827656,719
1452,purple,green,cop uniform,big,none,normal,sleep mask ,0.29993327806331543,720
358,purple,pink,firefighter uniform,small,none,normal,eye patch,0.29816201673266873,721
413,grey,grey,green jacket,normal,none,normal,glasses,0.29811211079501293,722
643,sun,red glitch,white shirt,worm,pilot helmet,rainbow laser,none,0.29770435926102734,723
492,grey,green,gold necklace,normal,none,normal,eye patch,0.2975917402859647,724
603,teal,stone,none,normal,none,heart,brown aviator,0.29730375348746496,725
1770,cancer constellation,not berb,none,moustache normal,none,normal,eye patch,0.29721435450424527,726
1756,blue,blue,pajamas blue holding pillow,normal,none,normal,sleep mask ,0.2959383437215776,727
069,pink sky,black skull,none,worm,none,eyebrow,pink stars glasses,0.2954348642421779,728
349,teal,black skull,none,normal,none,cyclops,sleep mask ,0.2953959062890979,729
1607,green chart,yellow belly,scarf,silver,construction hat,green laser,none,0.29470331212023504,730
468,blue,yellow belly,none,small,none,heart,red stylish glasses,0.29404982634459187,731
1494,purple,pink love,none,small,none,heart,sleep mask ,0.2932205798953636,732
523,red chart,green,none,cigar,none,eyebrow,eye patch,0.29239584837189936,733
447,pink sky,pink,none,normal,none,normal gold,pink stars glasses,0.2914832594018452,734
2026,teal,grey,none,worm,none,unibrow,sunglasses smoll,0.2911743917286834,735
1468,rain,blue,none,normal,none,machine,sleep mask ,0.29009326494962584,736
1403,grey,bone,bowtie,none,clown hat,none,none,0.2899001087770439,737
708,blue sky,robot,cop uniform,cigar,sunny side up,black red,none,0.288992422061373,738
129,teal,yellow belly,none,not normal,none,eyebrow,eye patch,0.28850214051966455,739
851,cancer constellation,black,none,big,none,unibrow,pink stars glasses,0.28821452351430177,740
269,teal,brown,none,moustache big,none,unibrow,sunglasses smoll,0.2876158558091662,741
1477,green chart,pink love,pajamas blue holding pillow,moustache normal,gm,red laser,none,0.2872658492469845,742
1396,sun,boorb,bowtie,cigar,leprechaun's hat,normal gold,none,0.2869915150496302,743
2028,teal,pink love,chef,gold normal,rug!,red laser gold,none,0.2850296518084136,744
449,purple,brown,none,moustache normal,none,unibrow,brown aviator,0.2850286006854042,745
1623,thunder,purple,none,normal,none,pumped up,red stylish glasses,0.28362657163754984,746
2140,rain,yellow,none,normal,none,heart,red stylish glasses,0.28318057081562403,747
1708,space,black skull,farmer outfit,silver,bucket,black red,none,0.28289059643669795,748
651,blue sky,yellow,farmer outfit,cigar,straw hat,green laser,none,0.2828445582603546,749
1098,grey,pink,none,small,none,normal gold,snorkeling,0.2827796715258597,750
2196,pink sky,black skull,witch robe,moustache big,tiara pink,machine,none,0.28251488551644666,751
1289,aries constellation,fire red,sailor costume,moustache normal,brain,crying,none,0.28251378931375615,752
1383,aries constellation,purple,crewneck sweatshirt: pink,worm,plunger,machine gold,none,0.28095555206383377,753
1534,rain,yellow,none,normal,none,normal gold,3d glasses,0.2797420470812719,754
1227,rain,boorb,cross necklace,gold small,lamp,normal gold,none,0.27964255361195495,755
009,rainbow,stone,cross necklace,moustache big,clown hat,normal gold,none,0.2794412560321664,756
463,blue sky,pink love,robe king,worm,poisoned apple,black red,none,0.27919462737024003,757
1065,pink sky,yellow,none,moustache normal,none,eyebrow,3d glasses,0.27853262961194664,758
953,blue,blue,none,big,none,heart,pink stars glasses,0.27804473343232955,759
932,teal,pink,none,big,none,heart,green stylish glasses,0.27767180488673476,760
388,ninja,blue ninja,ninja staff,normal,ninja hat,wounded,none,0.2772353563314449,761
459,ninja,white ninja,ninja staff,normal,third eye,wounded,none,0.2768607139580241,762
739,teal,black,none,big,none,crying,goggles,0.2766816672890124,763
379,ninja,black skull,karate uniform,moustache small,pajamas cap,crying,none,0.2753689138697071,764
059,grey,black skull,leather jacket black,cigar,pajamas cap,not normal,none,0.2748197765188832,765
2058,sun,yellow,none,normal,none,unibrow,sleep mask ,0.2738954406022018,766
1800,pink sky,black skull,robe king,moustache normal,beanie,black red,none,0.2725992226120456,767
832,aries constellation,pink ninja,duck floaty,normal,ninja hat,none,none,0.27211648672140976,768
015,aries constellation,yellow,firefighter uniform,worm,pilot helmet,rainbow laser,none,0.2712845320772279,769
1507,beach,black,karate uniform,cigar,bullseye cap,heart,none,0.2707514205469607,770
803,doom gloom,green,none,small,none,unibrow,sunglasses,0.26983565176364954,771
1333,diplo sky,green,none,moustache normal,none,normal,green stylish glasses,0.2698060819868527,772
797,doom gloom,brown,none,big,none,unibrow,goggles,0.26894278974031527,773
480,purple,pink,none,gold small,none,eyebrow,glasses,0.26869639917513727,774
1167,purple,fire blue,white shirt,moustache big,bowler hat,green laser,none,0.26771861699217947,775
325,space,blue,bowtie,worm,cowboy hat,machine,none,0.267693206354107,776
2116,beach,brown,bowtie,moustache normal,straw hat,rainbow laser,none,0.2676404569976611,777
1482,thunder,yellow,none,small,none,unibrow,glasses,0.26761902140991883,778
1450,purple,yellow,none,normal,none,normal gold,3d glasses,0.2672816817927766,779
025,red chart,green,clown outfit,cigar,headband,pumped up,none,0.2662812518931306,780
019,rain,brown,cop uniform,silver,rug!,red laser,none,0.26618509062389417,781
367,graveyard,blue,detective suit,moustache normal,top hat,crying,none,0.26597832941676086,782
1860,rain,pink,farmer outfit,silver,plunger,red laser gold,none,0.2658756200616512,783
260,purple,grey,none,normal,none,black red,3d glasses,0.26569903845640547,784
897,sun,yellow,none,moustache normal,none,normal,brown aviator,0.2655651568174197,785
373,doom gloom,purple,chef,worm,witch hat,red laser gold,none,0.2654828759554435,786
2051,sun,black,pajamas blue holding pillow,cigar,cavalier hat ,pumped up,none,0.2654520248266963,787
1856,rain,yellow,gladiator armor,gold normal,gladiator helmet,crying,none,0.2652754538083535,788
1082,aries constellation,purple,firefighter uniform,pipe,cowboy hat,black red,none,0.2650167737556309,789
263,purple,purple,scarf,gold small,chef hat,red laser gold,none,0.2637669950513423,790
1759,doom gloom,black,baseball jersey,cigar,lamp,machine,none,0.26370942647054485,791
293,purple,black skull,tracksuit navy blue,gold big,poisoned apple,normal gold,none,0.2635564881999237,792
1472,doom gloom,green,none,pipe,none,normal,brown aviator,0.2632946127755447,793
2091,diplo sky,boorb,sailor costume,moustache big,viking,unibrow,none,0.2631312040399897,794
1458,space,blue,farmer outfit,worm,apple,black red,none,0.2630346249149488,795
1099,beach,white ninja,cross necklace,normal,pan,wounded,none,0.26279194084132906,796
689,rain,robot,clown outfit,moustache small,pilot helmet,black red,none,0.26222869406943733,797
545,green chart,black skull,none,normal,none,eyebrow,red stylish glasses,0.2619404430036887,798
1865,doom gloom,yellow,pajamas blue holding pillow,pipe,bucket,cyclops,none,0.26192909336614023,799
698,rainbow,red glitch,gold necklace,moustache big,cowboy hat,unibrow,none,0.2619047248169379,800
1590,diplo sky,grey,tracksuit navy blue,moustache small,bowler hat,crying,none,0.26114906010739564,801
1143,grey,green,none,small,none,unibrow,green stylish glasses,0.26093016118286744,802
1542,blue,pink love,chef,cigar,sombrero hat,normal gold,none,0.26073637671885563,803
237,thunder,yellow,none,cigar,none,normal,goggles,0.26053107759204747,804
828,teal,grey,bowtie,gold big,witch hat,machine,none,0.2604634176076437,805
1096,cancer constellation,yellow,none,big,none,eyebrow,snorkeling,0.2604133607253895,806
1327,aries constellation,grey,baseball jersey,moustache big,rubber duck,crying,none,0.2603383113978668,807
710,ninja,blue,pink dress,moustache small,headband,black red,none,0.25991192032598875,808
344,thunder,purple glitch,pink dress,cigar,firefighter hat,unibrow,none,0.2593330724659344,809
1984,beach,black,pink dress,moustache normal,plunger,crying,none,0.25895580899115594,810
1720,beach,black,karate uniform,moustache small,apple,pumped up,none,0.2588939447940229,811
039,grey,yellow,none,gold small,none,normal,pink stars glasses,0.2588248596702115,812
406,rain,boorb,pink dress,moustache big,apple,black red,none,0.2587630804343881,813
763,blue,black,none,moustache small,none,eyebrow,green stylish glasses,0.2585182205415524,814
735,red chart,blue,medal,moustache normal,pan,pumped up,none,0.2579963553419128,815
151,thunder,pink love,clown outfit,worm,cone,pumped up,none,0.257892441942679,816
1981,red chart,yellow belly,construction vest,small,construction hat,machine,none,0.2575449916832563,817
1672,pink sky,brown,cross necklace,worm,headlamp,heart,none,0.2573808079057376,818
913,purple,black,none,small,none,unibrow,glasses,0.2573729739713097,819
192,rain,purple,construction vest,moustache normal,cop hat,machine,none,0.25727150274235244,820
1909,rain,blue,gold necklace,moustache normal,crown king,cyclops,none,0.2572285022289021,821
232,blue,black,construction vest,not normal,basquiat's crown,pumped up,none,0.25706782910067943,822
1180,rainbow,purple,gold necklace,worm,cowboy hat,pumped up,none,0.25701698334852974,823
632,pink sky,yellow belly,none,normal,none,eyebrow,sleep mask ,0.2565075692157136,824
498,doom gloom,brown,construction vest,pipe,sombrero hat,crying,none,0.2562919329254698,825
037,cancer constellation,pink,scarf,moustache big,bowler hat,black red,none,0.25610087501032414,826
502,rain,pink love,bowtie,moustache normal,bowler hat,normal gold,none,0.2560173897580314,827
714,graveyard,grey,crewneck sweatshirt: pink,cigar,baseball cap,unibrow,none,0.25590533204415294,828
1325,teal,green,none,worm,none,eyebrow,pink stars glasses,0.2558854309187023,829
629,cancer constellation,pink,green jacket,moustache big,pirate hat,crying,none,0.2557336220820156,830
469,thunder,pink,tracksuit navy blue,not normal,pajamas cap,black red,none,0.2557252186957805,831
389,grey,yellow,karate uniform,silver,captain hat,green laser,none,0.25568827976870084,832
1440,sun,pink,scarf,worm,bullseye cap,pumped up,none,0.25555650186591555,833
1362,purple,grey,none,big,none,unibrow,sleep mask ,0.25554707145662087,834
945,pink sky,green,chef,moustache big,pirate hat,pumped up,none,0.25532560921205927,835
1829,blue,green,none,worm,none,eyebrow,eye patch,0.2552723611780037,836
487,blue,stone,crewneck sweatshirt: pink,worm,cavalier hat ,pumped up,none,0.2551979920370924,837
2113,pink sky,fire red,none,normal,none,normal,eye patch,0.2546202297488754,838
1094,doom gloom,brown,gold necklace,moustache normal,bucket,machine gold,none,0.2544510159952815,839
2061,rainbow,brown,gold necklace,moustache big,cowboy hat,normal gold,none,0.2544441591171109,840
312,blue,green,duck floaty,cigar,cowboy hat,red laser gold,none,0.2538431622672556,841
1930,teal,yellow,cop uniform,silver,brain,machine gold,none,0.2538161451697925,842
980,sun,black,none,small,none,eyebrow,pink stars glasses,0.25376259508100363,843
008,purple,black,firefighter uniform,cigar,chef hat,red laser,none,0.25354264687627603,844
918,teal,black,pajamas blue holding pillow,gold small,gladiator helmet,pumped up,none,0.25348554301474224,845
1010,green chart,brown,sailor costume,worm,pirate hat,crying,none,0.2534291883752893,846
1701,grey,grey,purple jacket,worm,top hat,rainbow laser,none,0.25311760877859857,847
1459,blue,purple glitch,cross necklace,moustache big,pajamas cap,pumped up,none,0.25285277867281974,848
1367,blue,grey,none,normal,none,unibrow,brown aviator,0.2524591060836393,849
1366,doom gloom,green,tracksuit navy blue,moustache small,cavalier hat ,machine,none,0.2523597071064542,850
436,pink sky,yellow,bowtie,worm,brain,normal gold,none,0.2523499692786589,851
